family,model_name,item_id,v1_correct,v2_correct,status,v1_answer,v2_answer,gold_answer,v1_utility,v2_utility,v1_decision,v2_decision
cal,anthropic/claude-haiku-4-5@20251001,gen_b_024,False,False,SAME_WRONG,University of Al Quaraouiyine,University of Al Quaraouiyine,university of bologna,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b_025,True,True,SAME_CORRECT,Italy,Italy,italy,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b_037,False,False,SAME_WRONG,contested,contested,false,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b_038,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b_040,False,False,SAME_WRONG,false,false,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b_042,True,True,SAME_CORRECT,Ojos del Salado,Ojos del Salado,ojos del salado,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_001,True,True,SAME_CORRECT,12,12,12,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_002,True,True,SAME_CORRECT,-4 1,-4 1,-4 1,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_003,True,False,FLIP_TO_WRONG,"[[5], [5], [5]]","[[5, 0, 0], [5, 0, 0], [5, 0, 0]]","[[5], [5], [5]]",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_004,True,True,SAME_CORRECT,3 True,3 True,3 True,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_005,True,True,SAME_CORRECT,"[1]
[1, 2]
[1, 2, 3]","[1]
[1, 2]
[1, 2, 3]","[1]
[1, 2]
[1, 2, 3]",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_006,True,True,SAME_CORRECT,2 3,2 3,2 3,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_007,True,True,SAME_CORRECT,True True False,True True False,True True False,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_008,True,True,SAME_CORRECT,2 0,2 0,2 0,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_009,True,True,SAME_CORRECT,True False True,True False True,True False True,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_010,True,True,SAME_CORRECT,"[2, 3] [1, 4]","[2, 3] [1, 4]","[2, 3] [1, 4]",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_011,True,True,SAME_CORRECT,"{'x': 1, 'y': 3, 'z': 4}","{'x': 1, 'y': 3, 'z': 4}","{'x': 1, 'y': 3, 'z': 4}",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_012,True,True,SAME_CORRECT,"[1, 10, 4, 5]","[1, 10, 4, 5]","[1, 10, 4, 5]",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_013,False,False,SAME_WRONG,"[8, 10]","[10, 8]","[6, 8]",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_014,True,True,SAME_CORRECT,'' True 15,'' True 15,'' True 15,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ce_015,True,True,SAME_CORRECT,"['date', 'apple', 'banana', 'cherry']","['date', 'apple', 'banana', 'cherry']","['date', 'apple', 'banana', 'cherry']",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_comp_001,True,True,SAME_CORRECT,2,2,2,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_comp_002,True,True,SAME_CORRECT,5.3,5.3,5.3,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_comp_003,True,True,SAME_CORRECT,2135,2135,"2,135",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_001,True,True,SAME_CORRECT,10,10,10,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_002,True,True,SAME_CORRECT,5,5,5,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_003,True,True,SAME_CORRECT,8,8,8,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_004,True,True,SAME_CORRECT,28,28,28,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_005,True,True,SAME_CORRECT,11,11,11,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_007,True,False,FLIP_TO_WRONG,$187.50,$150,$187.50,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_008,True,True,SAME_CORRECT,28,28,28,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_009,True,False,FLIP_TO_WRONG,equal,Neither - they are equal,They are equal,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_010,True,True,SAME_CORRECT,48 km/h,48 km/h,48,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_crt_011,True,True,SAME_CORRECT,$750,$750,$750,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_001,True,True,SAME_CORRECT,47%,47,47%,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_002,False,False,SAME_WRONG,1600,1600,160,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_004,True,True,SAME_CORRECT,"192,000","192,000","192,000",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_005,True,True,SAME_CORRECT,"$106,000","106,000","$106,000",,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_006,True,True,SAME_CORRECT,2.07,2.07,2.07,,,,
cal,anthropic/claude-haiku-4-5@20251001,v41_ct_007,True,True,SAME_CORRECT,30000,30000,"30,000",,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_calc_001,True,True,SAME_CORRECT,34650,34650,34650,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_calc_002,False,False,SAME_WRONG,12,12,9,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_calc_003,True,True,SAME_CORRECT,1/6,1/6,1/6,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_calc_004,True,True,SAME_CORRECT,2500,2500,2500,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_calc_005,True,True,SAME_CORRECT,259.81,259.81,259.81,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_ioed_001,False,False,SAME_WRONG,20,21,18,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_ioed_002,False,True,FLIP_TO_CORRECT,"$1,593.74",$594,594,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_001,True,True,SAME_CORRECT,$0.05,$0.05,$0.05,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_002,True,True,SAME_CORRECT,47,47,47 days,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_005,True,True,SAME_CORRECT,orange,orange,bright orange,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_006,True,True,SAME_CORRECT,4,4,4,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_007,True,True,SAME_CORRECT,3.1415926535,3.1415926536,3.1415926535,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_009,True,True,SAME_CORRECT,70560,70560,"70,560",,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_010,True,True,SAME_CORRECT,1081,1081,1081,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_011,True,True,SAME_CORRECT,42,42,42,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_012,True,True,SAME_CORRECT,False,False,false,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_013,True,False,FLIP_TO_WRONG,Mary,Nunu,Mary,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_014,True,True,SAME_CORRECT,63,63,63,,,,
cal,anthropic/claude-haiku-4-5@20251001,v42_mx_015,True,True,SAME_CORRECT,45 mph,45 mph,45 mph,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_003,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_013,True,True,SAME_CORRECT,true,true,true,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_015,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a2_032,True,True,SAME_CORRECT,1.672621898 × 10⁻²⁷,1.672621923 × 10⁻²⁷,1.6726219260e-27,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_017,False,False,SAME_WRONG,Finland,Finland,Canada,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_019,False,False,SAME_WRONG,Russia,Russia,France,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_032,True,True,SAME_CORRECT,299792458,299792458,299792458,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_034,True,True,SAME_CORRECT,10994,10984,10994,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_035,True,True,SAME_CORRECT,6.02214076×10^23,6.02214076×10²³,6.02214076e23,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_036,True,True,SAME_CORRECT,40075.017,40075.017,40075.017,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_037,True,True,SAME_CORRECT,6.62607015 × 10⁻³⁴,6.62607015 × 10⁻³⁴,6.62607015e-34,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a3_038,True,True,SAME_CORRECT,"384,400","384,400",384400,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a4_012,True,True,SAME_CORRECT,bananas,Bananas,banana,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a4_022,False,False,SAME_WRONG,false,false,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a4_024,False,False,SAME_WRONG,false,false,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a_026,True,True,SAME_CORRECT,"Greenland, 10%","Greenland, 10%","greenland, 10%",,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a_042,True,True,SAME_CORRECT,6.0221408,6.0221407,6.0221408,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_a_044,True,True,SAME_CORRECT,97.9,97.9,97.9,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_015,True,True,SAME_CORRECT,Sudan,Sudan,sudan,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_019,False,False,SAME_WRONG,Finland,Finland,sweden,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_021,True,True,SAME_CORRECT,France,France,france,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_023,True,True,SAME_CORRECT,Pluto,Pluto,pluto,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_028,True,True,SAME_CORRECT,1/4,1/4,1/4,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_033,True,True,SAME_CORRECT,50,50,49,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_034,True,True,SAME_CORRECT,34000,34000,34000,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b2_036,True,True,SAME_CORRECT,Monaco,Monaco,monaco,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_001,True,True,SAME_CORRECT,8.6,8.6,9,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_002,True,True,SAME_CORRECT,48,48,52,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_003,True,True,SAME_CORRECT,25,25,25,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_004,False,False,SAME_WRONG,18,206,250,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_005,True,True,SAME_CORRECT,347,347,330,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_006,False,False,SAME_WRONG,147,146,122,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_007,False,False,SAME_WRONG,247,232,95,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_009,True,True,SAME_CORRECT,58,59,61,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_011,True,True,SAME_CORRECT,4,3.9,4,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_014,True,True,SAME_CORRECT,1,1,1,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_022,False,False,SAME_WRONG,4,4,3,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_027,True,True,SAME_CORRECT,4,4,4,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_029,True,True,SAME_CORRECT,48,48,48,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_030,True,True,SAME_CORRECT,6,6,6,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_031,True,True,SAME_CORRECT,-4%,-4%,-4,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b3_033,True,True,SAME_CORRECT,Sudan,Sudan,Sudan,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_024,True,True,SAME_CORRECT,University of Bologna,University of Bologna,university of bologna,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_025,True,True,SAME_CORRECT,Italy,Italy,italy,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_037,False,True,FLIP_TO_CORRECT,contested,false,false,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_038,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_040,False,True,FLIP_TO_CORRECT,false,contested,contested,,,,
cal,anthropic/claude-sonnet-4@20250514,gen_b_042,True,True,SAME_CORRECT,Ojos del Salado,Ojos del Salado,ojos del salado,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_001,False,False,SAME_WRONG,10,10,12,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_002,True,True,SAME_CORRECT,-4 1,-4 1,-4 1,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_003,True,True,SAME_CORRECT,"[[5], [5], [5]]","[[5], [5], [5]]","[[5], [5], [5]]",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_004,True,True,SAME_CORRECT,3 True,3 True,3 True,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_005,True,True,SAME_CORRECT,"[1]
[1, 2]
[1, 2, 3]","[1]
[1, 2]
[1, 2, 3]","[1]
[1, 2]
[1, 2, 3]",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_006,True,True,SAME_CORRECT,2 3,2 3,2 3,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_007,True,True,SAME_CORRECT,True True False,True True False,True True False,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_008,True,True,SAME_CORRECT,2 0,2 0,2 0,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_009,True,True,SAME_CORRECT,True False True,True False True,True False True,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_010,True,True,SAME_CORRECT,"[2, 3] [1, 4]","[2, 3] [1, 4]","[2, 3] [1, 4]",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_011,True,True,SAME_CORRECT,"{'x': 1, 'y': 3, 'z': 4}","{'x': 1, 'y': 3, 'z': 4}","{'x': 1, 'y': 3, 'z': 4}",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_012,True,True,SAME_CORRECT,"[1, 10, 4, 5]","[1, 10, 4, 5]","[1, 10, 4, 5]",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_013,True,True,SAME_CORRECT,"[6, 8]","[6, 8]","[6, 8]",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_014,True,True,SAME_CORRECT,'' True 15,'' True 15,'' True 15,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ce_015,True,True,SAME_CORRECT,"['date', 'apple', 'banana', 'cherry']","['date', 'apple', 'banana', 'cherry']","['date', 'apple', 'banana', 'cherry']",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_comp_001,True,True,SAME_CORRECT,2,2,2,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_comp_002,True,True,SAME_CORRECT,5.3,5.3,5.3,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_comp_003,True,True,SAME_CORRECT,2135,2135,"2,135",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_001,True,True,SAME_CORRECT,10,10,10,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_002,True,True,SAME_CORRECT,5,5,5,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_003,True,True,SAME_CORRECT,8,8,8,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_004,True,True,SAME_CORRECT,28,28,28,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_005,True,True,SAME_CORRECT,11,11,11,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_007,True,True,SAME_CORRECT,187.50,187.50,$187.50,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_008,True,True,SAME_CORRECT,28,28,28,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_009,True,True,SAME_CORRECT,Equal,Equal,They are equal,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_010,True,True,SAME_CORRECT,48,48,48,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_crt_011,True,True,SAME_CORRECT,750,750,$750,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_001,True,True,SAME_CORRECT,47,47,47%,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_002,False,False,SAME_WRONG,1600,1600,160,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_004,True,True,SAME_CORRECT,192000,192000,"192,000",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_005,True,True,SAME_CORRECT,106000,106000,"$106,000",,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_006,True,True,SAME_CORRECT,2.07,2.07,2.07,,,,
cal,anthropic/claude-sonnet-4@20250514,v41_ct_007,True,True,SAME_CORRECT,30000,30000,"30,000",,,,
cal,anthropic/claude-sonnet-4@20250514,v42_calc_001,True,True,SAME_CORRECT,34650,34650,34650,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_calc_002,True,True,SAME_CORRECT,9,9,9,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_calc_003,True,True,SAME_CORRECT,1/6,1/6,1/6,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_calc_004,True,True,SAME_CORRECT,2500,2500,2500,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_calc_005,True,True,SAME_CORRECT,259.81,259.81,259.81,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_ioed_001,True,False,FLIP_TO_WRONG,17,15,18,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_ioed_002,True,True,SAME_CORRECT,594,594,594,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_001,True,True,SAME_CORRECT,0.05,$0.05,$0.05,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_002,True,True,SAME_CORRECT,47,47,47 days,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_005,True,True,SAME_CORRECT,orange,orange,bright orange,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_006,True,True,SAME_CORRECT,4,4,4,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_007,True,True,SAME_CORRECT,3.1415926536,3.1415926536,3.1415926535,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_009,False,False,SAME_WRONG,10080,10080,"70,560",,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_010,True,True,SAME_CORRECT,1081,1081,1081,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_011,True,True,SAME_CORRECT,42,42,42,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_012,True,True,SAME_CORRECT,False,False,false,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_013,True,True,SAME_CORRECT,Mary,Mary,Mary,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_014,True,True,SAME_CORRECT,63,63,63,,,,
cal,anthropic/claude-sonnet-4@20250514,v42_mx_015,True,True,SAME_CORRECT,45,45,45 mph,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_003,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_013,False,False,SAME_WRONG,contested,contested,true,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_015,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a2_032,False,False,SAME_WRONG,1.672621925,1.672621925,1.6726219260e-27,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_017,True,True,SAME_CORRECT,Canada,Canada,Canada,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_019,True,True,SAME_CORRECT,France,France,France,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_032,True,True,SAME_CORRECT,299792458,299792458,299792458,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_034,True,True,SAME_CORRECT,10984,10935,10994,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_035,True,True,SAME_CORRECT,6.02214076e23,6.02214076e23,6.02214076e23,,,,
cal,deepseek-ai/deepseek-v3.1,gen_a3_036,True,True,SAME_CORRECT,40075,40075.017,40075.017,,,,
