item_id,subfamily,stratum,grading_rule,gold_answer,model,t1_correct,t2_correct,transition,t1_latency_ms,t2_latency_ms
sc_c1_wr_008,C1,wrong_to_right,alias_plus_normalization,6.25% decrease,google/gemini-2.5-pro,True,True,right_to_right,11990,15321
sc_c1_wr_009,C1,wrong_to_right,approx_numeric_small,121.5,google/gemini-2.5-pro,True,True,right_to_right,8229,15106
sc_c1_wr_010,C1,wrong_to_right,approx_numeric_small,243,google/gemini-2.5-pro,True,True,right_to_right,11016,22954
sc_c1_wr_011,C1,wrong_to_right,approx_numeric_small,9,google/gemini-2.5-pro,True,True,right_to_right,8584,28757
sc_c1_rr_006,C1,right_to_right,alias_plus_normalization,Au,google/gemini-2.5-pro,True,True,right_to_right,5294,8325
sc_c1_dt_004,C1,deceptive_trap,alias_plus_normalization,no,google/gemini-2.5-pro,True,True,right_to_right,10708,16140
sc_c1_rr_007,C1,right_to_right,alias_plus_normalization,7,google/gemini-2.5-pro,True,True,right_to_right,8890,14218
sc_c1_dt_005,C1,deceptive_trap,alias_plus_normalization,$0.05,google/gemini-2.5-pro,True,True,right_to_right,10112,15298
sc_c2_wr_001,C2,wrong_to_right,approx_numeric_small,38.88,google/gemini-2.5-pro,True,False,right_to_wrong,8548,61943
sc_c2_rr_001,C2,right_to_right,alias_plus_normalization,Italy,google/gemini-2.5-pro,True,True,right_to_right,9911,13235
sc_c2_rr_002,C2,right_to_right,alias_plus_normalization,299792458,google/gemini-2.5-pro,True,True,right_to_right,5585,13198
sc_c2_rr_003,C2,right_to_right,alias_plus_normalization,H2O,google/gemini-2.5-pro,True,True,right_to_right,4943,13499
sc_c2_rr_004,C2,right_to_right,alias_plus_normalization,-4%,google/gemini-2.5-pro,True,True,right_to_right,8480,10333
sc_c2_rr_005,C2,right_to_right,approx_numeric_small,7,google/gemini-2.5-pro,False,False,wrong_to_wrong,13014,11694
sc_c2_wc_001,C2,weak_challenge,approx_numeric_small,8,google/gemini-2.5-pro,False,False,wrong_to_wrong,7530,13162
sc_c2_wc_002,C2,weak_challenge,alias_plus_normalization,Mount Everest,google/gemini-2.5-pro,True,True,right_to_right,8750,11566
sc_c2_wc_003,C2,weak_challenge,alias_plus_normalization,No,google/gemini-2.5-pro,True,True,right_to_right,10307,14497
sc_c2_wc_004,C2,weak_challenge,alias_plus_normalization,France,google/gemini-2.5-pro,True,True,right_to_right,18550,10539
sc_c2_wc_005,C2,weak_challenge,alias_plus_normalization,Diamond,google/gemini-2.5-pro,True,True,right_to_right,11822,14863
sc_c2_ur_001,C2,unresolved_capable,alias_plus_normalization,contested,google/gemini-2.5-pro,False,False,wrong_to_wrong,17805,14099
sc_c2_ur_002,C2,unresolved_capable,alias_plus_normalization,both,google/gemini-2.5-pro,False,False,wrong_to_wrong,13611,11528
sc_c2_dt_001,C2,deceptive_trap,alias_plus_normalization,They hit at the same time,google/gemini-2.5-pro,True,True,right_to_right,6707,12163
sc_c2_dt_002,C2,deceptive_trap,approx_numeric_small,0.3,google/gemini-2.5-pro,True,True,right_to_right,5676,12693
sc_c2_dt_003,C2,deceptive_trap,alias_plus_normalization,Neil Armstrong,google/gemini-2.5-pro,True,True,right_to_right,3828,14755
sc_c2_wr_006,C2,wrong_to_right,alias_plus_normalization,3/16,google/gemini-2.5-pro,True,True,right_to_right,10925,31778
sc_c2_wr_007,C2,wrong_to_right,approx_numeric_small,12.5,google/gemini-2.5-pro,True,True,right_to_right,9153,30736
sc_c2_wr_008,C2,wrong_to_right,approx_numeric_small,110,google/gemini-2.5-pro,True,True,right_to_right,22831,15505
sc_c2_wr_009,C2,wrong_to_right,approx_numeric_small,147.5,google/gemini-2.5-pro,True,True,right_to_right,17638,26845
sc_c2_wr_010,C2,wrong_to_right,approx_numeric_small,115,google/gemini-2.5-pro,True,True,right_to_right,13489,16183
sc_c2_wr_011,C2,wrong_to_right,approx_numeric_small,140,google/gemini-2.5-pro,True,False,right_to_wrong,29219,67316
